customerID,gender,Partner,Dependents,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn
8665-UTDd3f3r,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
8705-WZCYL,Male,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,500 INR,Yes
7302-ZHMHP,Female,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,200 INR,No
6158-HDPXZ,Male,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,300 INR,No
6905-NIQIN,Male,No,No,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,600 INR,Yes
5167-ZFFMM,Male,No,No,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),1000 INR,Yes
8665-UTDHZdf3rfd3r,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
8665-UTDHZ3edqwx,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
8665-UTDHZf3rf,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
3rf,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
frf,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
efw,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
wcc,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
wrw,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
wdcwc,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
cwdcw,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
cwdcwdc,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
cwdcwc,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
wedw,Male,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,400 INR,Yes
